Time,Pack Amperage (Current),J1772 AC Amp Limit
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:52 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:52 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:52 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:52 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:52 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:52 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:52 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:52 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:52 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:52 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:53 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:53 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:53 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:53 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:53 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:53 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:53 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:53 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:53 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:53 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:54 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:54 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:54 GMT 2020,1.100000,80.000000
