Time,Discharge-Enable Output Active,Pack Discharge Current Limit (DCL),Pack Amperage (Current),Pack Voltage
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:57 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:57 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:57 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:57 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:57 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:57 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:57 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:57 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:57 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:58 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:58 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:58 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:58 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:58 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:58 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:58 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:58 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:58 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:58 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:59 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:59 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:59 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:59 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:59 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:59 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:59 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:59 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:59 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:59 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:00 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:00 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:00 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:00 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:00 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:00 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:00 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:00 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:00 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:00 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:31:01 GMT 2020,0.000000,248.000000,1.500000,300.400000
